Sample description: 
Sample:   c= 0 mg/ml  Code: 
  1.767703e-01   6.097349e+00   3.944894e-02
  1.819169e-01   6.050051e+00   3.872741e-02
  1.870635e-01   5.994888e+00   3.802129e-02
  1.922101e-01   5.987461e+00   3.655343e-02
  1.973566e-01   5.926828e+00   3.593036e-02
  2.025032e-01   5.957847e+00   3.517850e-02
  2.076498e-01   5.939124e+00   3.451847e-02
  2.127963e-01   5.912348e+00   3.409015e-02
  2.179429e-01   5.857194e+00   3.292315e-02
  2.230895e-01   5.889852e+00   3.226620e-02
  2.282360e-01   5.824806e+00   3.190660e-02
  2.333826e-01   5.769058e+00   3.132193e-02
  2.385292e-01   5.770379e+00   3.086899e-02
  2.436758e-01   5.797067e+00   3.035401e-02
  2.488223e-01   5.755500e+00   2.980570e-02
  2.539689e-01   5.748284e+00   2.925069e-02
  2.591155e-01   5.609939e+00   2.885831e-02
  2.642620e-01   5.655613e+00   2.838704e-02
  2.694086e-01   5.623846e+00   2.788102e-02
  2.745552e-01   5.578713e+00   2.750184e-02
  2.797018e-01   5.518042e+00   2.715874e-02
  2.848483e-01   5.498906e+00   2.673650e-02
  2.899949e-01   5.525879e+00   2.683338e-02
  2.951415e-01   5.465022e+00   2.708935e-02
  3.002880e-01   5.421841e+00   2.709709e-02
  3.054346e-01   5.397049e+00   2.706927e-02
  3.105812e-01   5.340789e+00   2.689528e-02
  3.157277e-01   5.406476e+00   2.689529e-02
  3.208743e-01   5.385618e+00   2.660474e-02
  3.260209e-01   5.297180e+00   2.660814e-02
  3.311675e-01   5.283762e+00   2.644084e-02
  3.363140e-01   5.286267e+00   2.654836e-02
  3.414606e-01   5.198573e+00   2.619118e-02
  3.466072e-01   5.204568e+00   2.599198e-02
  3.517537e-01   5.168985e+00   2.581809e-02
  3.569003e-01   5.162728e+00   2.527513e-02
  3.620469e-01   5.094696e+00   2.440029e-02
  3.671934e-01   5.042076e+00   2.396706e-02
  3.723400e-01   5.032846e+00   2.386180e-02
  3.774866e-01   4.987651e+00   2.336455e-02
  3.826332e-01   4.951860e+00   2.299121e-02
  3.877797e-01   4.975360e+00   2.297730e-02
  3.929263e-01   4.899184e+00   2.248586e-02
  3.980729e-01   4.859382e+00   2.223346e-02
  4.032194e-01   4.852640e+00   2.203326e-02
  4.083660e-01   4.782462e+00   2.147982e-02
  4.135126e-01   4.758699e+00   2.137362e-02
  4.186592e-01   4.749523e+00   2.127056e-02
  4.238057e-01   4.717314e+00   2.092237e-02
  4.289523e-01   4.661909e+00   2.067298e-02
  4.340989e-01   4.632384e+00   2.054309e-02
  4.392454e-01   4.580859e+00   2.036431e-02
  4.443920e-01   4.590601e+00   2.015138e-02
  4.495386e-01   4.535372e+00   1.997208e-02
  4.546851e-01   4.502000e+00   1.964875e-02
  4.598317e-01   4.463551e+00   1.953850e-02
  4.649783e-01   4.422374e+00   1.954706e-02
  4.701249e-01   4.411617e+00   1.969774e-02
  4.752714e-01   4.368933e+00   1.967775e-02
  4.804180e-01   4.363767e+00   1.985652e-02
  4.855646e-01   4.326787e+00   1.970654e-02
  4.907111e-01   4.237372e+00   1.967696e-02
  4.958577e-01   4.230826e+00   1.969492e-02
  5.010043e-01   4.191679e+00   1.963036e-02
  5.061509e-01   4.184593e+00   1.962771e-02
  5.112974e-01   4.163175e+00   1.980763e-02
  5.164440e-01   4.112309e+00   1.943269e-02
  5.215906e-01   4.030579e+00   1.932703e-02
  5.267371e-01   4.078407e+00   1.938440e-02
  5.318837e-01   3.987112e+00   1.924561e-02
  5.370303e-01   3.945127e+00   1.854696e-02
  5.421768e-01   3.908708e+00   1.838875e-02
  5.473234e-01   3.886064e+00   1.818269e-02
  5.524700e-01   3.870632e+00   1.785490e-02
  5.576166e-01   3.838254e+00   1.779537e-02
  5.627631e-01   3.789113e+00   1.756705e-02
  5.679097e-01   3.768067e+00   1.730792e-02
  5.730563e-01   3.719314e+00   1.715713e-02
  5.782028e-01   3.688899e+00   1.706592e-02
  5.833494e-01   3.666895e+00   1.675375e-02
  5.884960e-01   3.648059e+00   1.672217e-02
  5.936426e-01   3.613959e+00   1.674442e-02
  5.987891e-01   3.533052e+00   1.630616e-02
  6.039357e-01   3.524053e+00   1.629870e-02
  6.090823e-01   3.494420e+00   1.621340e-02
  6.142288e-01   3.457722e+00   1.595072e-02
  6.193754e-01   3.398405e+00   1.583400e-02
  6.245220e-01   3.368457e+00   1.575503e-02
  6.296685e-01   3.352608e+00   1.560054e-02
  6.348151e-01   3.309724e+00   1.555314e-02
  6.399617e-01   3.281935e+00   1.545318e-02
  6.451083e-01   3.281027e+00   1.527267e-02
  6.502548e-01   3.205110e+00   1.511106e-02
  6.554014e-01   3.202960e+00   1.506931e-02
  6.605480e-01   3.158467e+00   1.501207e-02
  6.656945e-01   3.117776e+00   1.516072e-02
  6.708411e-01   3.092476e+00   1.530946e-02
  6.759877e-01   3.056145e+00   1.518334e-02
  6.811343e-01   3.029684e+00   1.516009e-02
  6.862808e-01   2.987569e+00   1.512825e-02
  6.914274e-01   2.956221e+00   1.472732e-02
  6.965740e-01   2.944265e+00   1.454272e-02
  7.017205e-01   2.895705e+00   1.447827e-02
  7.068671e-01   2.878525e+00   1.429178e-02
  7.120137e-01   2.843022e+00   1.412651e-02
  7.171602e-01   2.817819e+00   1.412478e-02
  7.223068e-01   2.791623e+00   1.391964e-02
  7.274534e-01   2.732290e+00   1.374441e-02
  7.326000e-01   2.737980e+00   1.375625e-02
  7.377465e-01   2.692595e+00   1.351187e-02
  7.428931e-01   2.682158e+00   1.341887e-02
  7.480397e-01   2.630419e+00   1.336078e-02
  7.531862e-01   2.601636e+00   1.319882e-02
  7.583328e-01   2.590645e+00   1.317726e-02
  7.634794e-01   2.548067e+00   1.319411e-02
  7.686259e-01   2.515808e+00   1.301966e-02
  7.737725e-01   2.494586e+00   1.291586e-02
  7.789191e-01   2.444814e+00   1.290957e-02
  7.840657e-01   2.439099e+00   1.271988e-02
  7.892122e-01   2.419226e+00   1.267125e-02
  7.943588e-01   2.392527e+00   1.265403e-02
  7.995054e-01   2.372314e+00   1.253612e-02
  8.046519e-01   2.345242e+00   1.246209e-02
  8.097985e-01   2.301513e+00   1.240594e-02
  8.149451e-01   2.282363e+00   1.220132e-02
  8.200917e-01   2.235420e+00   1.216132e-02
  8.252382e-01   2.240535e+00   1.215046e-02
  8.303848e-01   2.186035e+00   1.194697e-02
  8.355314e-01   2.167455e+00   1.189635e-02
  8.406779e-01   2.135875e+00   1.184429e-02
  8.458245e-01   2.101754e+00   1.175637e-02
